"Date","Android","iOS","Series 40","SymbianOS","Unknown","Samsung","BlackBerry OS","Windows","Nokia Unknown","Sony Ericsson","Linux","KaiOS","bada","Tizen","LG","Playstation","Firefox OS","MeeGo","Nintendo 3DS","Other"
2009,2.41,34.01,0,35.49,9.42,1.11,8.16,1.73,0,4.18,0.05,0,0,0,0.18,2.24,0,0,0,1.02
2010,8.82,25.48,0,32.29,6.45,2.97,16.5,0.44,0,5.45,0,0,0,0,0.13,0.7,0,0,0,0.78
2011,19,22.29,0,31.68,5.52,5.33,11.64,0.54,0,2.88,0.03,0,0.34,0,0.09,0.28,0,0,0.01,0.36
2012,27.41,24.04,10.64,18.15,4.64,6.46,5.09,0.96,0,1.21,0.11,0,0.65,0,0.06,0.16,0,0.03,0.14,0.25
2013,39.21,24.03,13.47,6.82,4.29,4.72,3.58,1.59,0.12,0.56,0.77,0,0.33,0,0.22,0.07,0,0.02,0.08,0.12
2014,53.65,23.95,7.85,2.7,3.2,2.68,1.82,2.35,0.65,0.24,0.43,0,0.16,0,0.19,0.06,0,0.01,0.02,0.03
2015,64.2,20.2,3.93,1.18,3.16,1.07,1.19,2.29,2.06,0.1,0.31,0,0.07,0.04,0.1,0.04,0.01,0.03,0.01,0.01
2016,69.11,19.29,1.75,0.51,3.44,0.64,0.75,1.75,2.04,0.06,0.37,0,0.03,0.11,0.06,0.02,0.01,0.04,0,0.01
2017,72.63,19.65,0.64,0.21,3.73,0.37,0.3,0.89,1.09,0.02,0.07,0,0.01,0.22,0.05,0.01,0.07,0.02,0,0
2018,75.45,20.47,0.3,0.11,1.94,0.28,0.1,0.47,0.21,0.01,0.06,0.29,0,0.15,0.03,0.01,0.11,0.01,0,0
2019,75.47,22.71,0.11,0.03,0.29,0.22,0.03,0.21,0.1,0.01,0.04,0.69,0,0.07,0,0.01,0,0,0,0
2020,73.06,26.28,0.02,0.01,0.12,0.21,0.01,0.06,0.03,0,0.02,0.15,0,0.02,0,0,0,0,0,0
2021,71.89,27.34,0.02,0,0.14,0.39,0.01,0.02,0.02,0,0.02,0.15,0,0.01,0,0,0,0,0,0
2022,71.47,27.85,0.01,0,0.12,0.4,0,0.02,0.01,0,0.01,0.1,0,0,0,0,0,0,0,0
2023,70.26,29.02,0.01,0.01,0.15,0.38,0,0.02,0.01,0,0.01,0.13,0,0,0,0,0,0,0,0
